time	sign
307	1,117
308	0,148
309	-0,067
310	-0,661
311	-1,832
312	-2,403
313	-2,846
314	-3,518
315	-3,365
316	-3,635
317	-3,647
318	-3,056
319	-3,109
320	-2,92
321	-1,787
322	-1,27
323	-1,644
324	-0,883
325	-0,801
326	-0,794
327	-1,544
328	-2,669
329	-2,975
330	-3,282
331	-4,582
332	-5,028
333	-5,025
334	-6,083
335	-5,711
336	-6,266
337	-6,004
338	-5,801
339	-5,256
340	-3,842
341	-3,585
342	-3,12
343	-3,047
344	-2,654
345	-2,879
346	-2,938
347	-3,33
348	-3,55
349	-3,771
350	-4,651
351	-5,331
352	-5,899
353	-6,506
354	-6,843
355	-6,343
356	-6,299
357	-5,529
358	-5,835
359	-4,896
360	-4,738
361	-3,449
362	-3,089
363	-2,895
364	-2,399
365	-2,179
366	-1,969
367	-2,302
368	-2,567
369	-2,984
370	-3,905
371	-4,487
372	-4,898
373	-4,682
374	-5,25
375	-5,051
376	-4,578
377	-4,818
378	-3,848
379	-3,672
380	-2,533
381	-1,638
382	-0,517
383	-0,564
384	-0,172
385	-0,264
386	0,732
387	0,482
388	0,001
389	-0,244
390	-1,482
391	-1,33
392	-1,951
393	-2,572
394	-2,39
395	-2,09
396	-2,116
397	-1,13
398	-0,724
399	0,118
400	0,491
401	1,681
402	2,155
403	2,401
404	2,812
405	3,434
406	3,636
407	2,738
408	2,869
409	2,015
410	2,276
411	1,932
412	0,911
413	0,776
414	0,446
415	0,851
416	0,921
417	1,795
418	1,625
419	2,962
420	3,638
421	3,867
422	4,505
423	5,783
424	5,336
425	6,127
426	5,786
427	5,794
428	5,577
429	4,573
430	4,052
431	4,248
432	3,646
433	3,358
434	2,521
435	3,338
436	2,635
437	3,5
438	4,075
439	4,549
440	4,976
441	5,443
442	6,028
443	6,966
444	7,245
445	7,857
446	7,602
447	7,131
448	6,952
449	6,476
450	5,305
451	4,863
452	4,549
453	3,807
454	3,399
455	3,684
456	3,738
457	3,532
458	4,528
459	4,46
460	5,72
461	6,19
462	6,522
463	6,772
464	6,655
465	7,195
466	6,421
467	6,164
468	6,357
469	5,183
470	4,441
471	4,204
472	3,13
473	2,538
474	2,081
475	2,11
476	1,844
477	2,457
478	2,811
479	3,246
480	3,566
481	3,531
482	4,137
483	4,214
484	4,552
485	4,584
486	4,828
487	4,574
488	3,6
489	2,969
490	2,482
491	1,326
492	0,282
493	-0,202
494	-0,161
495	-0,775
496	-1,211
497	-0,516
498	-0,487
499	0,253
500	0,06
501	1,232
502	1,447
503	1,66
504	2,141
505	1,831
506	1,742
507	1,406
508	0,312
509	-0,201
510	-0,868
511	-1,614
512	-2,647
513	-2,954
514	-3,282
515	-3,66
516	-3,347
517	-3,928
518	-3,586
519	-3,191
520	-2,357
521	-1,549
522	-1,536
523	-1,203
524	-1,3
525	-1,257
526	-0,814
527	-1,157
528	-2,076
529	-2,339
530	-3,665
531	-4,092
532	-4,632
533	-4,957
534	-5,419
535	-6,135
536	-6,159
537	-5,566
538	-5,625
539	-4,984
540	-3,848
541	-3,307
542	-3,632
543	-2,986
544	-2,794
545	-2,464
546	-2,482
547	-3,182
548	-3,416
549	-3,844
550	-4,894
551	-4,635
552	-5,734
553	-6,014
554	-6,397
555	-6,595
556	-6,262
557	-6,414
558	-6,01
559	-5,267
560	-4,678
561	-3,698
562	-2,97
563	-2,439
564	-2,58
565	-2,088
566	-1,936
567	-2,376
568	-2,347
569	-2,775
570	-3,397
571	-3,964
572	-4,721
573	-4,996
574	-4,666
575	-5,013
576	-4,478
577	-4,468
578	-3,972
579	-3,438
580	-2,256
581	-2,005
582	-0,588
583	-0,122
584	0,263
585	-0,199
586	-0,08
587	-0,357
588	-0,51
589	-0,921
590	-0,691
591	-1,09
592	-2,185
593	-2,353
594	-2,694
595	-2,506
596	-1,805
597	-1,401
598	-0,903
599	-0,353
600	0,119
601	1,699
602	2,207
603	2,205
604	2,825
605	3,38
606	3,168
607	2,851
608	3,164
609	2,424
610	1,622
611	1,503
612	1,263
613	1,361
614	0,458
615	0,327
616	0,57
617	0,995
618	1,572
619	3,101
620	3,853
621	4,295
622	4,885
623	5,072
624	6,294
625	6,203
626	5,971
627	5,751
628	5,072
629	5,269
630	4,849
631	4,371
632	3,36
633	3,206
634	3,449
635	3,065
636	3,43
637	3,961
638	3,916
639	4,328
640	5,155
641	5,94
642	6,687
643	7,186
644	7,017
645	7,528
646	7,609
647	6,862
648	6,824
649	6,12
650	5,866
651	4,641
652	3,931
653	3,747
654	3,467
655	3,022
656	3,062
657	3,785
658	4,133
659	4,971
660	5,669
661	6,282
662	6,465
663	6,434
664	6,595
665	6,755
666	6,811
667	6,59
668	5,686
669	5,723
670	4,955
671	3,712
672	2,857
673	2,712
674	2,501
675	1,919
676	2,38
677	2,192
678	2,351
679	2,654
680	3,636
681	3,632
682	4,324
683	4,976
684	4,592
685	4,838
686	4,618
687	3,628
688	3,107
689	3,055
690	2,357
691	1,472
692	0,77
693	-0,075
694	-0,353
695	-0,656
696	-0,522
697	-1,009
698	-0,633
699	0,271
700	0,799
701	0,599
702	1,664
703	2,126
704	1,682
705	1,777
706	1,016
707	0,793
708	-0,007
709	-0,697
710	-1,382
711	-1,864
712	-2,731
713	-2,972
714	-3,77
715	-3,704
716	-3,421
717	-3,315
718	-3,574
719	-2,447
720	-2,348
721	-2,354
722	-1,647
723	-0,706
724	-0,976
725	-0,559
726	-1,509
727	-1,145
728	-1,871
729	-2,87
730	-3,636
731	-4,149
732	-4,795
733	-5,712
734	-6,012
735	-5,756
736	-5,657
737	-5,884
738	-5,169
739	-4,802
740	-4,352
741	-3,365
742	-2,698
743	-2,884
744	-2,87
745	-2,018
746	-2,423
747	-3,331
748	-3,358
749	-3,464
750	-4,3
751	-4,878
752	-6,159
753	-6,531
754	-6,142
755	-6,696
756	-6,082
757	-5,543
758	-5,098
759	-4,882
760	-4,647
761	-3,757
762	-3,333
763	-2,571
764	-2,393
765	-2,043
766	-2,381
767	-1,997
768	-2,621
769	-2,763
770	-3,146
771	-3,74
772	-4,767
773	-4,812
774	-4,65
775	-5,135
776	-4,849
777	-4,394
778	-3,933
779	-3,059
780	-2,493
781	-2,063
782	-1,143
783	-0,783
784	0,378
785	0,502
786	-0,151
787	0,249
788	-0,248
789	-0,079
790	-1,392
791	-1,488
792	-2,404
793	-2,415
794	-1,914
795	-2,538
796	-2,133
797	-1,376
798	-0,866
799	0,047
800	0,466
801	1,297
802	1,83
803	2,507
804	3,298
805	3,018
806	3,658
807	3,645
808	2,877
809	2,261
810	2,104
811	1,67
812	0,732
813	1,288
814	0,965
815	1,223
816	1,199
817	1,742
818	2,073
819	2,3
820	3,44
821	4,095
822	4,686
823	5,441
824	6,031
825	5,783
826	5,997
827	6,162
828	5,988
829	5,333
830	4,349
831	3,633
832	4,022
833	3,33
834	2,703
835	3,199
836	3,192
837	3,013
838	4,152
839	4,804
840	5,736
841	5,657
842	6,331
843	6,545
844	7,662
845	6,987
846	7,553
847	6,825
848	6,72
849	5,874
850	5,027
851	5,124
852	4,486
853	3,71
854	4,009
855	3,004
856	3,296
857	3,663
858	4,216
859	5,12
860	4,919
861	6,175
862	6,567
863	6,346
864	6,612
865	7,422
866	6,857
867	6,369
868	5,405
869	5,005
870	4,209
871	4,012
872	2,856
873	2,609
874	2,47
875	2,253
876	1,737
877	2,105
878	2,958
879	2,907
880	3,304
881	4,091
882	4,06
883	4,889
884	4,323
885	4,425
886	4,513
887	4,594
888	3,262
889	2,343
890	2,472
891	0,877
892	0,952
893	0,142
894	-0,726
895	-0,457
896	-0,949
897	-0,644
898	-0,655
899	-0,127
900	0,445
901	0,832
902	1,566
903	1,772
904	1,813
905	1,648
906	0,996
907	1,281
908	0,468
909	0,2
910	-1,332
911	-1,721
912	-2,376
913	-3,186
914	-4,025
915	-3,928
916	-4,047
917	-3,674
918	-3,523
919	-2,918
920	-2,419
921	-2,188
922	-1,401
923	-1,596
924	-0,904
925	-0,996
926	-0,889
927	-1,19
928	-2,635
929	-2,582
930	-3,077
931	-4,266
932	-5,275
933	-5,251
934	-5,482
935	-5,795
936	-5,635
937	-5,374
938	-5,721
939	-5,306
940	-4,256
941	-3,867
942	-3,369
943	-2,433
944	-2,584
945	-2,634
946	-2,196
947	-2,671
948	-3,022
949	-4,187
950	-4,111
951	-5,304
952	-6,025
953	-6,097
954	-6,767
955	-6,49
956	-6,084
957	-5,548
958	-5,937
959	-4,957
960	-4,364
961	-4,038
962	-2,523
963	-2,458
964	-2,213
965	-2,014
966	-1,616
967	-1,796
968	-2,082
969	-2,861
970	-3,139
971	-4,417
972	-4,056
973	-5,166
974	-4,565
975	-5,45
976	-4,817
977	-4,082
978	-3,898
979	-3,383
980	-2,213
981	-1,838
982	-1,201
983	-0,37
984	0,036
985	0,129
986	-0,223
987	-0,096
988	-0,627
989	-0,991
990	-0,81
991	-1,584
992	-1,595
993	-2,335
994	-2,207
995	-2,55
996	-1,714
997	-1,905
998	-1,369
999	-0,307
